prefecture,pop_total,pop_in_2015,pop_change,pop_change_proportion,area_km2,pop_density_perkm2
01_Hokkaido,13377856,13730007,-352151,-0.0256,180516.33,74.1088
03_Iwate-ken,3297707,3485966,-188259,-0.0540,39985.05,82.4735
05_Akita-ken,2801452,2984672,-183220,-0.0614,32534.73,86.1065
32_Shimane-ken,2004441,2073619,-69178,-0.0334,19913.55,100.6571
39_Kochi-ken,1864376,1958023,-93647,-0.0478,17839.09,104.5107
06_Yamagata-ken,2378825,2505344,-126519,-0.0505,20809.73,114.3131
02_Aomori-ken,3495523,3689995,-194472,-0.0527,25539.95,136.8649
07_Fukushima-ken,4515288,4720081,-204793,-0.0434,32575.95,138.6080
36_Tokushima-ken,1677017,1768832,-91815,-0.0519,11477.71,146.1108
45_Miyazaki-ken,2978498,3067016,-88518,-0.0289,19520.25,152.5850
